b3f1d8adb496	sutazaiapp-faiss:latest	sutazai-faiss	Up 8 hours (healthy)	0.0.0.0:10103->8000/tcp, [::]:10103->8000/tcp
0bdd7c5e0e29	prom/alertmanager:latest	sutazai-alertmanager	Up 8 hours (healthy)	0.0.0.0:10203->9093/tcp, [::]:10203->9093/tcp
3b25c222b38a	ollama/ollama:latest	sutazai-ollama	Up 8 hours (healthy)	0.0.0.0:10104->11434/tcp, [::]:10104->11434/tcp
f3cff1661e08	gcr.io/cadvisor/cadvisor:latest	sutazai-cadvisor	Up 8 hours (healthy)	0.0.0.0:10206->8080/tcp, [::]:10206->8080/tcp
dde21b4e6365	prom/node-exporter:latest	sutazai-node-exporter	Up 8 hours	0.0.0.0:10205->9100/tcp, [::]:10205->9100/tcp
697cb6ed1e74	prom/blackbox-exporter:latest	sutazai-blackbox-exporter	Up 8 hours (healthy)	0.0.0.0:10204->9115/tcp, [::]:10204->9115/tcp
96bb7b234e14	rabbitmq:3.12-management-alpine	sutazai-rabbitmq	Up 8 hours (healthy)	4369/tcp, 5671/tcp, 15671/tcp, 15691-15692/tcp, 25672/tcp, 0.0.0.0:10007->5672/tcp, [::]:10007->5672/tcp, 0.0.0.0:10008->15672/tcp, [::]:10008->15672/tcp
e06ddbfde0a2	prom/prometheus:latest	sutazai-prometheus	Up 4 hours (healthy)	0.0.0.0:10200->9090/tcp, [::]:10200->9090/tcp
ff37e44cc463	jaegertracing/all-in-one:latest	sutazai-jaeger	Up 8 hours (healthy)	0.0.0.0:10214->4317/tcp, [::]:10214->4317/tcp, 0.0.0.0:10215->4318/tcp, [::]:10215->4318/tcp, 0.0.0.0:10213->9411/tcp, [::]:10213->9411/tcp, 0.0.0.0:10212->14250/tcp, [::]:10212->14250/tcp, 0.0.0.0:10211->14268/tcp, [::]:10211->14268/tcp, 0.0.0.0:10210->16686/tcp, [::]:10210->16686/tcp
0e257aa2efb6	redis:7-alpine	sutazai-redis	Up 8 hours (healthy)	0.0.0.0:10001->6379/tcp, [::]:10001->6379/tcp
a1e00313f752	neo4j:5	sutazai-neo4j	Up 8 hours (healthy)	7473/tcp, 0.0.0.0:10002->7474/tcp, [::]:10002->7474/tcp, 0.0.0.0:10003->7687/tcp, [::]:10003->7687/tcp
2445ed69f50e	portainer/portainer-ce:2.19.4	portainer	Up 27 hours	8000/tcp, 9000/tcp, 0.0.0.0:10314->9443/tcp, [::]:10314->9443/tcp
